"Source:","C:\Users\Baptiste\Documents\ENSEA\3A\Projet chat-souris\kicad_chat-souris\kicad_chat-souris.kicad_sch"
"Date:","21/09/2023 21:15:48"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","BT301","Battery","Device:Battery","","~","","","","","",""
"2","8","C202, C203, C206, C301, C303, C305, C307, C504","0.1uF","Device:C_Small","","~","","","","","",""
"3","2","C204, C205","10pF","Device:C","","~","","","","","",""
"4","3","C302, C304, C306","22uF","Device:C_Small","","~","","","","","",""
"5","3","C308, C309, C405","1uF","Device:C_Small","","~","","","","","",""
"6","5","C401, C402, C404, C407, C408","47nF","Device:C_Small","","~","","","","","",""
"7","2","C403, C406","10uF","Device:C_Small","","~","","","","","",""
"8","1","C501","2.2nF","Device:C_Small","","~","","","","","",""
"9","1","C502","0.01nF","Device:C_Small","","~","","","","","",""
"10","1","C503","0.01uF","Device:C_Small","","~","","","","","",""
"11","6","C701, C702, C703, C704, C705, C706","100 nF","Device:C_Small","","~","","","","","",""
"12","1","IC201","STM32G070RBT6","STM32G070RBT6:STM32G070RBT6","QFP50P1200X1200X160-64N","https://componentsearchengine.com/Datasheets/1/STM32G070RBT6.pdf","","1.6","STMicroelectronics","STM32G070RBT6","511-STM32G070RBT6","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32G070RBT6?qs=l7cgNqFNU1g2MF3TqxTHUQ%3D%3D"
"13","1","J201","ST/link connector","Connector_Generic:Conn_02x07_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical_SMD","~","","","","","",""
"14","1","J401","Conn_motor1","Connector:Conn_01x06_Socket","","~","","","","","",""
"15","1","J402","Conn_motor2","Connector:Conn_01x06_Socket","","~","","","","","",""
"16","1","J501","Conn_01x08","Connector_Generic:Conn_01x08","","~","","","","","",""
"17","4","J502, J503, J504, J505","Conn_01x02","Connector_Generic:Conn_01x02","","~","","","","","",""
"18","3","J701, J702, J703","Conn_01x09","Connector_Generic:Conn_01x09","","~","","","","","",""
"19","1","L301","4.7uH","Device:L_Small","","~","","","","","",""
"20","3","R201, R202, R204","20k","Device:R_Small","","~","","","","","",""
"21","1","R203","10","Device:R","","~","","","","","",""
"22","1","R301","20","Device:R_Small","","~","","","","","",""
"23","1","R302","16k","Device:R_Small","","~","","","","","",""
"24","1","R303","100k","Device:R_Small","","~","","","","","",""
"25","1","R304","40.2k","Device:R_Small","","~","","","","","",""
"26","1","R305","7.68k","Device:R_Small","","~","","","","","",""
"27","5","R306, R503, R504, R505, R506","10k","Device:R_Small","","~","","","","","",""
"28","2","R501, R502","4.7k","Device:R_Small","","~","","","","","",""
"29","3","R701, R702, R703","4.3 Ohm","Device:R_Small","","~","","","","","",""
"30","1","SW201","RESET","Switch:SW_SPST","","~","","","","","",""
"31","1","SW202","BTN_1","Switch:SW_SPST","","~","","","","","",""
"32","1","SW203","BTN_2","Switch:SW_SPST","","~","","","","","",""
"33","1","SW204","BTN_3","Switch:SW_SPST","","~","","","","","",""
"34","1","SW302","POWER_switch","Switch:SW_DP3T","","~","","","","","",""
"35","1","U301","MP1475","composants_chat_souris:MP1465","Package_TO_SOT_SMD:SOT-23-8","https://www.farnell.com/datasheets/2915024.pdf","","","","","",""
"36","1","U302","MIC5317-3.3xM5","Regulator_Linear:MIC5317-3.3xM5","Package_TO_SOT_SMD:SOT-23-5","https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/MIC5317-High-Performance-Single-150mA-LDO-DS20006195B.pdf","","","","","",""
"37","2","U401, U402","ZXBM5210-S","Driver_Motor:ZXBM5210-S","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.diodes.com/assets/Datasheets/ZXBM5210.pdf","","","","","",""
"38","1","U501","MPU-6050","Sensor_Motion:MPU-6050","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf","","","","","",""
"39","1","Y201","Crystal","Device:Crystal","","~","","","","","",""
